ano,mes,customer_city_codes,customer_state_codes
2018,5,3288,22
2018,7,1847,25
2018,6,1980,23
2017,12,2672,17
2018,5,3576,25
2018,3,2492,18
2018,7,2372,22
2018,4,817,25
2018,3,3542,23
2018,4,3576,25
2018,4,3576,25
2018,4,3576,25
2018,4,3576,25
2018,4,1853,10
2018,1,1322,10
2018,4,2329,25
2018,3,3136,18
2017,11,2373,10
2018,3,3356,25
2018,3,1523,25
2017,10,3818,10
2018,2,3136,18
2018,1,3136,18
2018,1,1807,25
2018,2,736,25
2017,11,1198,12
2018,1,2447,18
2018,2,149,25
2017,7,3737,25
2018,3,306,22
2018,4,2579,25
2017,9,2079,25
2018,5,1460,22
2018,4,2182,10
2017,6,1334,10
2018,7,2771,22
2018,7,2001,25
2018,7,3824,18
2018,5,513,18
2018,3,3576,25
2018,4,2369,10
2017,12,2447,18
2017,11,3409,25
2018,4,3576,25
2017,11,451,10
2018,1,556,6
2018,1,3576,25
2018,5,769,22
2018,5,3136,18
2018,5,2447,18
2018,7,3289,15
2018,4,897,22
2018,4,2896,25
2018,3,451,10
2018,4,3576,25
2018,4,3451,18
2018,1,2849,25
2017,10,451,10
2017,7,451,10
2018,7,478,23
2018,4,3432,13
2018,2,3136,18
2017,10,629,22
2017,4,3737,25
2017,6,3136,18
2017,10,1139,17
2017,9,1368,5
2017,9,1368,5
2017,6,3627,22
2017,10,859,10
2018,4,3136,18
2017,9,3576,25
2017,6,1352,23
2017,9,2078,4
2017,9,2078,4
2017,12,2471,25
2017,6,2444,18
2017,7,3136,18
2017,10,436,25
2017,5,354,7
2017,5,2527,7
2017,6,1803,10
2017,10,4063,7
2018,3,2492,18
2017,11,1173,26
2017,11,1173,26
2017,10,2886,7
2017,10,2886,7
2018,8,3136,18
2017,10,3822,16
2018,8,1252,25
2018,6,387,13
2018,6,1523,25
2017,5,3576,25
2018,5,614,22
2018,6,1376,25
2017,7,1467,15
2017,6,704,25
2017,5,3414,25
2018,1,1331,25
2017,9,556,6
2017,9,556,6
2017,9,556,6
2017,9,556,6
2018,3,1523,25
2017,12,2353,25
2018,2,3771,25
2017,9,451,10
2017,6,1807,25
2017,4,2579,25
2017,11,3576,25
2017,11,3576,25
2017,7,3130,25
2017,4,1299,25
2017,5,3737,25
2017,7,3171,25
2017,11,2487,18
2017,11,3576,25
2017,3,2329,25
2017,9,1523,25
2017,5,1443,8
2017,5,3228,4
2017,6,1523,25
2018,3,2945,22
2017,3,1943,25
2017,6,3669,7
2017,3,2798,18
2017,4,544,25
2017,8,3263,22
2017,4,264,25
2017,6,3576,25
2018,2,3576,25
2018,2,3576,25
2017,5,1230,18
2018,6,2579,25
2017,11,897,22
2017,11,897,22
2017,11,897,22
2017,11,897,22
2017,11,897,22
2017,11,897,22
2017,10,451,10
2017,5,451,10
2017,5,451,10
2017,5,451,10
2017,5,451,10
2017,5,451,10
2017,5,451,10
2017,5,451,10
2017,5,451,10
2018,1,4051,20
2018,6,3576,25
2018,5,3576,25
2018,6,704,25
2018,3,3576,25
2017,5,3576,25
2018,6,3113,25
2017,12,269,18
2017,12,269,18
2017,7,3576,25
2017,9,1037,10
2017,7,451,10
2017,9,788,10
2017,8,976,7
2017,6,3576,25
2017,8,2222,18
2018,1,3927,10
2017,6,119,8
2018,2,704,25
2017,8,4052,25
2017,8,4052,25
2017,8,4052,25
2017,8,4052,25
2017,7,3228,4
2018,5,3576,25
2018,5,3576,25
2017,7,3737,25
2017,8,3136,18
2017,6,3576,25
2018,2,1547,25
2017,12,556,6
2017,5,2139,1
2018,2,3576,25
2018,4,3576,25
2017,11,1872,25
2017,11,1872,25
2017,11,1872,25
2017,7,308,22
2017,3,3136,18
2018,1,4025,22
2017,11,2296,7
2017,7,4064,4
2017,7,4064,4
2017,7,4064,4
2017,7,4064,4
2017,7,4064,4
2017,7,4064,4
2017,7,4064,4
2017,7,4064,4
2017,9,520,10
2017,8,1230,18
2017,11,2864,10
2018,5,451,10
2017,11,4063,7
2017,11,4063,7
2017,11,4063,7
2017,11,4063,7
2018,3,2945,22
2017,5,3737,25
2017,9,3409,25
2017,9,3409,25
2017,9,3409,25
2017,9,3409,25
2017,4,1376,25
2017,6,2179,10
2017,6,3919,10
2017,6,3919,10
2017,7,1271,10
2018,3,3576,25
2017,7,2466,12
2017,11,2882,25
2018,4,3136,18
2017,7,3576,25
2017,7,3576,25
2017,7,3576,25
2017,7,3576,25
2017,3,3356,25
2017,3,3357,22
2017,3,3357,22
2017,4,1181,10
2017,9,3576,25
2017,9,3576,25
2017,11,3576,25
2018,2,704,25
2017,4,1468,22
2018,6,2139,1
2017,9,3754,25
2017,5,3304,9
2017,9,3576,25
2018,3,3802,25
2018,5,3356,25
2017,8,349,22
2017,12,3749,25
2017,6,2793,25
2017,11,451,10
2017,10,3451,18
2017,7,3113,25
2017,5,818,10
2017,12,1523,25
2017,8,1352,23
2017,3,3576,25
2017,2,1501,10
2017,9,2492,18
2017,8,2001,25
2017,8,2001,25
2017,11,1833,25
2018,2,3532,18
2018,1,4064,4
2018,1,4064,4
2017,3,556,6
2017,3,556,6
2017,3,556,6
2017,3,556,6
2017,3,556,6
2017,3,556,6
2017,9,3754,25
2017,9,3754,25
2018,6,2492,18
2017,3,1507,7
2017,11,2945,22
2018,1,3766,23
2018,1,3766,23
2017,6,2487,18
2017,7,649,25
2018,8,3926,25
2018,8,3926,25
2017,8,2537,22
2017,12,3373,8
2017,12,3373,8
2017,12,3373,8
2017,12,3373,8
2017,5,1376,25
2017,7,469,15
2017,7,103,5
2017,7,103,5
2017,7,103,5
2018,3,607,18
2018,3,607,18
2017,5,2087,25
2017,6,679,17
2018,6,2936,18
2017,9,3979,25
2017,4,136,22
2017,4,136,22
2017,7,2318,25
2017,3,3965,5
2017,3,3965,5
2017,3,3965,5
2017,3,3965,5
2017,8,3136,18
2017,8,704,25
2017,4,3136,18
2018,7,3136,18
2018,5,3396,25
2018,7,556,6
2017,6,3576,25
2018,2,1037,10
2017,5,1296,10
2017,5,1485,10
2017,6,4050,7
2017,7,1638,25
2017,8,1107,8
2017,8,3576,25
2017,3,4034,23
2017,9,3451,18
2018,1,3872,25
2017,7,3149,25
2018,2,2728,25
2017,8,1107,8
2018,1,607,18
2018,6,1278,10
2018,6,1278,10
2018,6,1278,10
2018,3,1032,10
2018,5,1244,25
2017,6,3576,25
2017,6,3576,25
2017,6,3576,25
2017,6,3576,25
2018,3,2331,25
2017,3,704,25
2017,6,1168,25
2017,8,3136,18
2018,5,3409,25
2018,6,1177,10
2017,5,3173,23
2017,10,3136,18
2017,5,2511,10
2017,8,465,25
2018,1,3628,18
2018,3,2220,25
2017,7,2128,18
2017,6,3576,25
2017,8,3576,25
2017,6,550,25
2017,4,727,16
2017,7,1408,23
2017,4,1939,20
2017,6,3067,15
2018,2,1338,8
2018,3,3576,25
2018,3,3576,25
2018,3,3576,25
2018,3,3576,25
2017,10,3684,8
2017,6,2753,22
2017,4,1066,11
2018,5,3033,18
2017,5,1945,8
2017,8,3928,10
2017,6,550,25
2017,6,2161,25
2017,3,2228,25
2017,7,1657,25
2017,7,3136,18
2017,4,448,18
2017,7,3576,25
2017,7,3576,25
2017,7,3576,25
2017,7,3576,25
2017,3,1593,22
2018,2,3576,25
2017,10,1974,14
2018,5,3409,25
2017,4,2695,16
2017,11,2868,25
2017,4,703,12
2018,6,451,10
2017,5,1972,10
2018,8,451,10
2017,7,556,6
2018,8,3682,25
2018,5,2001,25
2017,3,3928,10
2017,7,3136,18
2017,6,1523,25
2017,6,220,17
2017,8,3136,18
2017,6,2492,18
2017,11,1168,25
2018,5,3576,25
2018,5,3576,25
2018,5,3576,25
2017,5,3576,25
2017,4,2228,25
2017,5,1230,18
2017,11,3136,18
2018,8,2579,25
2017,7,3576,25
2017,6,3409,25
2017,7,3576,25
2017,7,3576,25
2017,4,2605,9
2018,1,1368,5
2018,1,3396,25
2017,5,3396,25
2018,7,3576,25
2017,6,737,18
2017,7,3451,18
2017,6,2579,25
2017,6,2579,25
2017,6,2579,25
2017,6,2579,25
2017,4,3576,25
2017,7,3576,25
2017,3,1607,25
2017,3,1607,25
2017,6,1822,25
2017,3,451,10
2017,10,225,24
2017,9,3576,25
2017,5,3576,25
2018,3,3576,25
2018,5,3576,25
2017,4,2106,25
2017,4,2106,25
2018,1,2715,10
2018,1,2715,10
2018,2,556,6
2018,4,2886,7
2017,12,3136,18
2018,5,589,25
2018,3,1762,23
2018,1,2945,22
2017,11,3269,25
2017,11,1384,25
2018,2,1368,5
2018,5,23,25
2017,9,3576,25
2018,6,3451,18
2018,6,3451,18
2018,6,3451,18
2018,6,3451,18
2018,2,149,25
2018,3,1168,25
2017,5,1660,17
2017,11,3396,25
2017,8,2707,22
2018,5,1555,4
2017,8,3576,25
2018,8,3928,10
2017,3,3409,25
2017,9,2849,25
2017,6,2230,17
2017,12,428,25
2017,12,428,25
2018,6,3576,25
2017,10,2811,25
2017,10,2811,25
2017,10,2811,25
2017,10,2811,25
2017,7,3409,25
2017,12,3576,25
2017,11,3576,25
2017,6,3136,18
2017,12,225,24
2017,11,3136,18
2017,9,3576,25
2017,5,3451,18
2017,8,2651,10
2017,4,2001,25
2017,4,2001,25
2017,5,802,25
2017,7,451,10
2017,11,498,25
2017,11,3136,18
2017,11,3136,18
2017,11,3136,18
2017,11,3136,18
2018,5,3576,25
2018,5,3576,25
2018,5,3576,25
2018,5,3576,25
2017,9,1132,20
2018,6,3409,25
2017,12,2579,25
2017,5,3136,18
2017,3,3737,25
2017,7,1168,25
2017,5,1236,22
2017,6,1647,23
2017,6,1647,23
2017,12,3576,25
2017,7,704,25
2017,2,3576,25
2017,7,2890,8
2017,7,2890,8
2017,7,2890,8
2017,7,2890,8
2018,6,3576,25
2017,6,3928,10
2017,12,2004,25
2017,12,2004,25
2017,12,2004,25
2017,12,2004,25
2017,7,4006,18
2017,7,4006,18
2017,7,4006,18
2017,7,4006,18
2017,7,4006,18
2017,7,4006,18
2017,7,4006,18
2017,7,4006,18
2017,5,3576,25
2017,6,451,10
2017,12,2593,10
2017,5,3576,25
2017,5,306,22
2017,8,2389,4
2017,8,2389,4
2017,8,2389,4
2017,8,2389,4
2017,8,2389,4
2017,8,2389,4
2017,3,886,25
2018,5,556,6
2017,4,1643,14
2017,6,3754,25
2017,6,1439,8
2018,3,451,10
2017,4,2001,25
2017,4,2001,25
2017,8,1749,18
2017,7,3754,25
2017,5,2564,15
2017,4,3576,25
2018,3,1547,25
2017,7,2173,2
2018,2,263,25
2018,1,3136,18
2017,5,681,17
2017,5,276,10
2017,8,3415,25
2017,7,451,10
2017,6,818,10
2017,7,340,25
2017,5,3576,25
2017,5,3576,25
2017,11,3056,25
2017,10,3576,25
2017,9,1822,25
2017,11,3242,25
2017,11,2715,10
2017,11,2715,10
2017,11,2715,10
2017,11,2715,10
2017,5,312,25
2017,6,3136,18
2017,6,2007,25
2017,5,778,22
2017,11,3576,25
2017,10,2291,18
2017,10,2291,18
2018,5,3576,25
2017,10,3990,7
2017,5,3356,25
2017,5,560,10
2018,4,411,18
2017,7,2383,8
2018,4,2228,25
2017,5,1230,18
2017,4,989,22
2017,12,293,10
2017,5,3067,15
2017,5,3067,15
2017,5,3067,15
2017,5,3067,15
2018,6,56,10
2018,6,56,10
2018,6,56,10
2017,10,3496,17
2017,5,3576,25
2017,5,3576,25
2017,7,2331,25
2018,6,984,17
2017,10,3356,25
2017,11,772,18
2017,7,3576,25
2017,7,3576,25
2017,7,3576,25
2017,7,3576,25
2018,5,556,6
2017,11,4059,10
2017,11,4059,10
2017,8,1641,10
2017,11,3136,18
2018,7,3940,10
2017,4,3136,18
2017,6,3737,25
2018,1,3024,25
2017,12,451,10
2017,5,556,6
2017,5,556,6
2017,10,1168,25
2017,7,451,10
2017,7,722,11
2017,8,2119,10
2017,4,651,25
2017,7,1500,23
2018,7,3576,25
2017,5,3201,10
2017,5,2987,10
2017,7,4025,22
2017,7,704,25
2018,2,3751,25
2017,4,1260,22
2017,6,2001,25
2018,7,3136,18
2018,4,3007,12
2017,11,607,18
2017,11,607,18
2017,7,3576,25
2018,7,2945,22
2018,7,2945,22
2017,4,1975,10
2017,7,2372,22
2017,5,3824,18
2017,5,451,10
2017,6,3576,25
2018,1,737,18
2018,1,737,18
2017,7,2945,22
2017,7,2945,22
2017,7,2945,22
2017,7,2945,22
2018,2,3576,25
2017,8,3414,25
2017,4,3136,18
2017,4,3136,18
2017,4,3136,18
2017,4,3136,18
2018,2,612,23
2018,6,1088,25
2018,2,1439,8
2017,7,1523,25
2018,2,3136,18
2017,7,3576,25
2017,8,3534,25
2017,7,3979,25
2017,5,3754,25
2017,7,2728,25
2017,8,3136,18
2017,8,3136,18
2017,8,3136,18
2017,8,3136,18
2017,11,2945,22
2017,11,2945,22
2017,11,2945,22
2017,11,2945,22
2018,7,2007,25
2017,11,1037,10
2017,7,2945,22
2017,5,1515,25
2017,8,1801,4
2017,8,1801,4
2018,3,1352,23
2018,7,2357,25
2017,10,3876,10
2017,5,3067,15
2017,11,2867,17
2017,11,2867,17
2017,11,2867,17
2017,11,2867,17
2018,8,3576,25
2018,2,3534,25
2018,6,3414,25
2017,5,2650,18
2017,7,2849,25
2017,7,3136,18
2017,5,556,6
2018,1,3005,25
2017,9,3576,25
2017,4,1439,8
2018,5,3136,18
2017,5,3576,25
2017,6,3356,25
2017,6,3356,25
2017,6,3356,25
2017,6,3033,18
2017,11,3576,25
2017,4,3136,18
2017,6,704,25
2017,11,3529,25
2017,7,3409,25
2017,11,722,11
2018,5,3576,25
2018,5,3869,4
2017,8,1230,18
2017,8,1230,18
2017,8,1230,18
2017,8,1230,18
2018,5,3459,10
2018,6,3576,25
2018,6,3576,25
2018,6,3576,25
2018,6,3576,25
2017,11,3136,18
2017,11,3136,18
2018,5,1657,25
2017,8,1263,22
2017,8,1785,18
2017,8,1785,18
2017,8,1785,18
2017,8,1785,18
2018,2,2640,17
2018,5,3175,10
2017,6,3576,25
2017,12,3576,25
2017,11,1439,8
2017,8,2259,10
2017,6,4025,22
2018,2,738,10
2017,5,1088,25
2017,11,2602,13
2018,2,1439,8
2018,1,2230,17
2018,1,3451,18
2018,1,3668,18
2018,1,3668,18
2017,11,1368,5
2017,11,3183,17
2017,12,550,25
2018,1,2446,8
2017,10,1523,25
2017,10,1523,25
2017,8,1352,23
2017,5,3576,25
2017,11,3076,25
2017,11,3076,25
2017,11,1139,17
2017,11,1139,17
2018,1,3669,7
2017,7,2228,25
2017,12,2132,3
2017,7,1139,17
2017,5,3349,13
2017,12,2917,17
2018,5,3576,25
2018,5,3576,25
2018,5,3576,25
2018,5,3576,25
2017,7,2581,22
2017,12,2984,25
2017,12,3576,25
2017,10,1749,18
2017,7,3576,25
2018,2,2945,22
2018,2,2945,22
2017,6,581,23
2017,4,1849,25
2018,6,897,22
2017,6,2823,25
2017,10,3576,25
2017,12,3576,25
2017,8,451,10
2017,8,2984,25
2017,11,657,25
2017,8,3576,25
2017,7,3473,18
2017,9,2945,22
2017,6,2771,22
2017,5,3802,25
2017,11,2917,17
2017,3,366,9
2017,7,2173,2
2017,7,2173,2
2017,7,2173,2
2017,11,3254,25
2017,6,3555,22
2017,5,1230,18
2017,11,3136,18
2017,10,3818,10
2017,7,699,14
2017,10,1523,25
2017,7,3576,25
2018,8,2728,25
2017,8,3576,25
2017,10,2512,22
2017,9,2945,22
2017,9,3627,22
2017,10,206,8
2017,10,206,8
2017,10,206,8
2018,5,556,6
2017,7,2620,23
2017,11,1186,10
2018,1,1181,10
2017,11,3719,12
2017,11,3719,12
2017,10,1139,17
2017,10,1139,17
2017,10,1139,17
2018,5,3572,23
2018,5,3572,23
2017,11,1098,23
2017,11,1098,23
2017,9,1928,23
2017,9,1928,23
2017,7,2182,10
2017,7,2182,10
2017,12,3356,25
2018,1,83,10
2017,11,2444,18
2017,11,2425,10
2017,11,468,10
2017,12,3627,22
2017,12,3627,22
2017,12,3627,22
2017,12,3627,22
2017,12,3627,22
2018,2,3136,18
2018,2,3136,18
2018,5,1331,25
2018,2,2399,22
2018,6,3576,25
2018,6,3576,25
2017,10,2228,25
2017,8,2582,25
2018,6,58,25
2018,8,3136,18
2017,9,3288,22
2017,10,3576,25
2017,10,3576,25
2018,4,2262,10
2018,4,2262,10
2018,4,2262,10
2018,4,2262,10
2018,4,2262,10
2018,4,2262,10
2018,4,2262,10
2018,4,2262,10
2017,10,2428,19
2017,10,451,10
2017,9,1762,23
2018,2,1680,10
2017,8,2945,22
2018,2,2492,18
2018,2,2492,18
2018,2,2492,18
2018,2,2492,18
2018,2,2492,18
2018,2,2492,18
2018,2,2492,18
2018,2,2492,18
2017,11,3744,25
2017,8,2139,1
2017,11,704,25
2017,11,704,25
2018,5,3367,25
2017,7,1600,25
2017,7,1600,25
2018,1,2823,25
2018,2,2797,15
2018,2,1913,25
2018,2,1913,25
2018,2,3576,25
2018,2,3928,10
2017,8,3136,18
2017,8,3136,18
2018,4,3548,5
2017,12,892,5
2018,1,1845,4
2017,12,2314,25
2017,12,3576,25
2017,12,3576,25
2018,2,3576,25
2017,10,704,25
2018,1,3804,25
2018,1,1037,10
2018,4,2771,22
2018,1,2106,25
2017,11,3284,10
2018,1,2579,25
2018,1,2579,25
2018,3,3617,25
2018,6,704,25
2018,6,704,25
2017,7,3927,10
2017,10,1408,23
2018,4,3409,25
2017,11,3228,4
2017,10,1247,22
2018,6,3133,18
2017,11,448,18
2017,10,3133,18
2017,10,3133,18
2017,10,3133,18
2017,10,3133,18
2017,11,2066,17
2017,11,2066,17
2018,4,2851,18
2018,4,1822,25
2017,12,3719,12
2018,1,225,24
2018,1,303,18
2018,8,3514,7
2017,8,505,8
2018,5,1515,25
2017,11,3576,25
2018,5,2798,18
2017,10,3928,10
2017,10,3928,10
2018,3,2228,25
2018,3,2228,25
2018,3,2228,25
2018,3,2228,25
2017,11,2707,22
2017,11,9,23
2017,12,229,25
2017,12,229,25
2018,4,1515,25
2017,11,225,24
2017,9,3409,25
2018,4,1244,25
2017,11,451,10
2018,3,1924,17
2018,3,1924,17
2018,3,1924,17
2017,7,1439,8
2018,5,1008,4
2018,5,1008,4
2018,4,2068,4
2018,6,478,23
2018,5,3576,25
2017,7,3749,25
2017,7,3749,25
2018,2,2113,4
2018,2,2113,4
2017,11,3596,25
2017,11,3596,25
2017,11,3596,25
2017,11,3596,25
2017,11,3596,25
2017,11,3596,25
2017,11,3596,25
2017,11,3596,25
2017,11,3141,23
2017,10,2954,25
2017,10,2954,25
2017,10,1718,17
2017,11,4063,7
2018,6,3576,25
2018,6,3576,25
2018,6,3576,25
2018,6,3576,25
2018,4,3669,7
2018,2,3975,4
2017,7,2181,17
2018,3,3314,10
2018,5,451,10
2017,11,1139,17
2017,11,1139,17
2017,11,1139,17
2017,11,1139,17
2018,5,1547,25
2018,1,2823,25
2017,12,857,15
2017,12,857,15
2018,2,3576,25
2017,12,1849,25
2018,1,1352,23
2017,8,478,23
2018,1,3067,15
2018,4,777,25
2017,11,78,10
2017,10,3136,18
2017,10,3136,18
2018,2,2537,22
2018,2,2537,22
2018,2,2537,22
2018,2,2537,22
2017,9,3529,25
2017,8,1316,8
2017,12,3451,18
2018,2,3136,18
2018,2,3136,18
2018,2,3136,18
2018,2,3136,18
2018,2,3136,18
2018,2,3136,18
2018,2,3136,18
2018,2,3136,18
2017,11,3737,25
2017,12,2793,25
2017,12,2793,25
2017,11,3822,16
2018,2,1974,14
2018,2,1974,14
2018,2,3136,18
2018,2,3136,18
2017,7,1523,25
2017,12,3136,18
2017,12,3136,18
2017,12,3136,18
2018,2,880,8
2018,2,880,8
2018,2,880,8
2018,2,880,8
2018,2,880,8
2017,9,436,25
2017,10,3576,25
2018,8,3396,25
2018,8,3534,25
2018,2,3623,22
2018,4,3576,25
2017,10,3130,25
2018,1,4023,10
2017,10,2771,22
2017,11,451,10
2018,5,2373,10
2018,1,737,18
2018,7,328,25
2017,12,3560,17
2017,12,3560,17
2017,12,3560,17
2017,12,3560,17
2017,12,3560,17
2018,3,693,10
2017,8,2559,25
2017,11,3822,16
2018,5,1045,25
2017,11,3136,18
2017,9,3113,25
2018,8,857,15
2018,8,857,15
2018,8,857,15
2018,8,857,15
2018,8,857,15
2018,8,857,15
2018,8,857,15
2018,8,857,15
2018,8,857,15
2018,5,3576,25
2018,2,2373,10
2018,2,2373,10
2018,6,1168,25
2017,11,1084,25
2017,11,1084,25
2017,12,704,25
2017,10,3136,18
2018,7,2579,25
2017,11,478,23
2017,11,478,23
2018,6,446,13
2018,6,446,13
2018,6,446,13
2018,6,446,13
2018,6,446,13
2018,6,446,13
2018,5,3576,25
2018,3,3136,18
2017,10,2672,17
2017,10,2672,17
2017,8,2447,18
2017,8,2447,18
2017,8,2447,18
2017,8,2447,18
2017,9,1439,8
2018,4,2270,25
2018,4,2270,25
2018,4,2270,25
2018,4,2270,25
2018,2,1988,12
2018,1,3329,22
2017,11,3853,17
2018,4,3576,25
2018,7,2087,25
2017,10,438,25
2017,11,1230,18
2017,11,1230,18
2017,11,1230,18
2017,11,1230,18
2017,11,1230,18
2017,11,1230,18
2017,11,1230,18
2017,11,1230,18
2018,6,1793,25
2018,2,3356,25
2017,12,3534,25
2017,12,3534,25
2018,1,3737,25
2018,1,3136,18
2018,1,3136,18
2018,5,361,23
2018,5,361,23
2018,1,3033,18
2018,1,2579,25
2017,7,3964,22
2017,12,3228,4
2017,11,628,18
2018,3,446,13
2018,3,446,13
2018,3,446,13
2018,6,1697,17
2017,11,3136,18
2018,2,2823,25
2018,2,2823,25
2018,1,2969,8
2017,12,1996,10
2018,2,1854,8
2018,1,3576,25
2018,2,3314,10
2017,8,1088,25
2018,4,2945,22
2017,11,3049,4
2017,11,3049,4
2017,11,3049,4
2017,9,2447,18
2018,5,3841,23
2018,1,2916,25
2017,10,2945,22
2017,11,3136,18
2018,2,3113,25
2018,2,3576,25
2017,8,3288,22
2017,8,3288,22
2018,4,2447,18
2017,11,3136,18
2018,5,475,25
2018,5,475,25
2017,12,3576,25
2017,12,3576,25
2017,12,3576,25
2018,4,451,10
2018,4,451,10
2018,4,451,10
2018,3,3136,18
2018,3,3136,18
2018,3,3136,18
2018,3,3136,18
2018,3,3136,18
2018,3,3136,18
2017,10,3576,25
2018,3,857,15
2018,1,451,10
2018,1,451,10
2017,8,3576,25
2018,2,1457,10
2017,11,630,7
2017,11,630,7
2017,11,630,7
2017,12,2492,18
2018,3,1841,10
2017,12,3136,18
2017,12,451,10
2017,12,451,10
2017,12,451,10
2017,12,451,10
2017,12,451,10
2017,12,451,10
2018,1,1523,25
2018,1,1523,25
2017,11,3576,25
2018,8,3737,25
